iter	Passed	Remaining
706	4883	8931
707	4891	8927
708	4899	8920
709	4906	8914
710	4913	8907
711	4919	8899
712	4926	8892
713	4933	8886
714	4940	8879
715	4947	8872
716	4953	8863
717	4960	8857
718	4967	8849
719	4974	8844
720	4981	8837
721	4987	8828
722	4995	8822
723	5004	8819
724	5011	8813
725	5018	8806
726	5025	8800
727	5032	8792
728	5039	8786
729	5045	8778
730	5051	8770
731	5058	8762
732	5065	8754
733	5072	8748
734	5079	8741
735	5084	8732
736	5091	8725
737	5098	8718
738	5105	8712
739	5111	8703
740	5119	8697
741	5125	8689
742	5131	8680
743	5137	8673
744	5145	8668
745	5152	8661
746	5159	8654
747	5165	8646
748	5172	8639
749	5179	8632
750	5186	8625
751	5192	8617
752	5200	8611
753	5206	8603
754	5213	8596
755	5219	8589
756	5228	8585
757	5235	8578
758	5241	8570
759	5248	8563
760	5255	8557
761	5263	8551
762	5270	8544
763	5277	8538
764	5283	8530
765	5289	8521
766	5296	8513
767	5302	8506
768	5308	8498
769	5314	8490
770	5320	8481
771	5327	8474
772	5335	8468
773	5343	8463
774	5349	8455
775	5355	8447
776	5362	8440
777	5368	8432
778	5375	8426
779	5383	8420
780	5390	8414
781	5397	8406
782	5404	8399
783	5411	8393
784	5419	8387
785	5426	8380
786	5432	8372
787	5439	8366
788	5446	8360
789	5453	8352
790	5460	8346
791	5467	8338
792	5473	8330
793	5479	8322
794	5486	8315
795	5494	8310
796	5499	8301
797	5506	8293
798	5512	8285
799	5516	8274
800	5522	8266
801	5526	8255
802	5532	8247
803	5539	8239
804	5545	8232
805	5553	8226
806	5560	8219
807	5567	8213
808	5574	8206
809	5580	8199
810	5587	8192
811	5594	8185
812	5601	8178
813	5609	8172
814	5616	8166
815	5622	8158
816	5629	8150
817	5636	8143
818	5642	8136
819	5648	8128
820	5654	8119
821	5661	8113
822	5668	8106
823	5674	8098
824	5681	8092
825	5689	8086
826	5695	8078
827	5702	8072
828	5709	8065
829	5717	8060
830	5725	8054
831	5733	8049
832	5740	8041
833	5747	8035
834	5754	8028
835	5760	8021
836	5767	8013
837	5773	8006
838	5780	7999
839	5788	7993
840	5794	7985
841	5801	7979
842	5807	7970
843	5815	7965
844	5822	7958
845	5828	7950
846	5835	7943
847	5842	7936
848	5849	7929
849	5856	7923
850	5862	7915
851	5869	7908
852	5875	7900
853	5881	7892
854	5888	7886
855	5895	7879
856	5903	7873
857	5909	7865
858	5916	7858
859	5923	7852
860	5929	7844
861	5936	7836
862	5942	7828
863	5949	7821
864	5956	7815
865	5963	7808
866	5969	7801
867	5976	7794
868	5984	7788
869	5989	7779
870	5995	7771
871	6003	7765
872	6010	7758
873	6016	7751
874	6023	7743
875	6029	7736
876	6036	7729
877	6042	7722
878	6051	7717
879	6057	7709
880	6064	7702
881	6071	7696
882	6078	7689
883	6085	7682
884	6092	7675
885	6099	7669
886	6105	7661
887	6112	7654
888	6118	7647
889	6126	7640
890	6132	7632
891	6140	7627
892	6146	7619
893	6152	7611
894	6159	7604
895	6167	7598
896	6174	7592
897	6181	7585
898	6188	7578
899	6194	7571
900	6201	7564
901	6210	7560
902	6217	7553
903	6222	7544
904	6230	7538
905	6236	7531
906	6244	7525
907	6250	7516
908	6257	7510
909	6263	7502
910	6270	7496
911	6276	7488
912	6283	7480
913	6290	7473
914	6296	7466
915	6303	7459
916	6309	7452
917	6316	7445
918	6323	7438
919	6330	7431
920	6337	7424
921	6344	7418
922	6350	7410
923	6357	7403
924	6364	7396
925	6371	7389
926	6377	7382
927	6384	7375
928	6391	7367
929	6397	7360
930	6403	7352
931	6409	7345
932	6416	7338
933	6424	7332
934	6431	7325
935	6438	7319
936	6446	7313
937	6453	7306
938	6459	7299
939	6466	7291
940	6473	7285
941	6480	7278
942	6487	7271
943	6493	7264
944	6501	7257
945	6507	7250
946	6514	7243
947	6520	7235
948	6527	7229
949	6533	7221
950	6541	7215
951	6548	7208
952	6555	7202
953	6562	7194
954	6569	7188
955	6576	7182
956	6584	7176
957	6590	7168
958	6597	7162
959	6604	7154
960	6612	7148
961	6618	7141
962	6625	7135
963	6633	7128
964	6640	7122
965	6646	7114
966	6654	7108
967	6661	7102
968	6667	7094
969	6674	7087
970	6681	7080
971	6688	7073
972	6694	7066
973	6701	7059
974	6709	7053
975	6716	7046
976	6723	7040
977	6730	7032
978	6736	7025
979	6743	7018
980	6750	7012
981	6757	7004
982	6763	6997
983	6771	6991
984	6778	6984
985	6786	6978
986	6793	6972
987	6801	6966
988	6806	6958
989	6813	6951
990	6820	6944
991	6827	6937
992	6834	6930
993	6841	6924
994	6847	6916
995	6854	6909
996	6862	6903
997	6868	6895
998	6874	6888
999	6881	6881
1000	6887	6874
1001	6894	6866
1002	6901	6860
1003	6908	6853
1004	6914	6845
1005	6921	6838
1006	6929	6833
1007	6936	6826
1008	6942	6818
1009	6949	6811
1010	6955	6804
1011	6962	6797
1012	6970	6791
1013	6979	6786
1014	6986	6779
1015	6993	6773
1016	7000	6766
1017	7008	6760
1018	7014	6752
1019	7020	6745
1020	7027	6738
1021	7033	6730
1022	7041	6724
1023	7048	6717
1024	7055	6711
1025	7062	6704
1026	7070	6698
1027	7077	6691
1028	7084	6684
1029	7090	6677
1030	7097	6671
1031	7103	6663
1032	7111	6656
1033	7117	6649
1034	7124	6642
1035	7130	6635
1036	7137	6628
1037	7145	6622
1038	7153	6616
1039	7159	6608
1040	7165	6601
1041	7172	6594
1042	7179	6587
1043	7187	6581
1044	7195	6575
1045	7201	6567
1046	7208	6561
1047	7215	6554
1048	7222	6547
1049	7229	6540
1050	7237	6534
1051	7243	6527
1052	7249	6519
1053	7256	6512
1054	7262	6505
1055	7269	6498
1056	7275	6490
1057	7282	6484
1058	7288	6476
1059	7294	6469
1060	7302	6462
1061	7308	6455
1062	7315	6448
1063	7322	6441
1064	7329	6435
1065	7338	6430
1066	7345	6422
1067	7352	6416
1068	7358	6408
1069	7366	6402
1070	7372	6395
1071	7379	6388
1072	7387	6381
1073	7393	6375
1074	7400	6368
1075	7408	6361
1076	7415	6355
1077	7422	6348
1078	7429	6341
1079	7435	6334
1080	7443	6327
1081	7449	6320
1082	7455	6312
1083	7461	6305
1084	7468	6297
1085	7474	6290
1086	7481	6283
1087	7488	6276
1088	7494	6269
1089	7500	6262
1090	7507	6254
1091	7514	6248
1092	7520	6240
1093	7526	6233
1094	7533	6226
1095	7540	6219
1096	7547	6213
1097	7554	6206
1098	7561	6198
1099	7567	6191
1100	7574	6185
1101	7581	6178
1102	7589	6172
1103	7596	6165
1104	7602	6157
1105	7609	6150
1106	7617	6144
1107	7624	6138
1108	7631	6131
1109	7639	6125
1110	7646	6118
1111	7654	6112
1112	7661	6105
1113	7667	6097
1114	7673	6090
1115	7679	6083
1116	7685	6075
1117	7692	6068
1118	7698	6061
1119	7704	6053
1120	7712	6047
1121	7718	6039
1122	7724	6032
1123	7731	6025
1124	7737	6018
1125	7745	6011
1126	7752	6005
1127	7759	5998
1128	7765	5991
1129	7772	5983
1130	7778	5976
1131	7784	5968
1132	7791	5961
1133	7798	5955
1134	7804	5947
1135	7811	5940
1136	7818	5934
1137	7824	5927
1138	7831	5920
1139	7838	5913
1140	7846	5907
1141	7854	5901
1142	7861	5894
1143	7868	5887
1144	7874	5880
1145	7880	5872
1146	7888	5866
1147	7895	5859
1148	7902	5852
1149	7909	5845
1150	7915	5838
1151	7922	5831
1152	7929	5824
1153	7935	5817
1154	7942	5810
1155	7949	5804
1156	7956	5797
1157	7963	5790
1158	7970	5783
1159	7977	5776
1160	7984	5769
1161	7990	5762
1162	7997	5755
1163	8003	5748
1164	8009	5740
1165	8017	5734
1166	8024	5727
1167	8030	5720
1168	8038	5714
1169	8046	5707
1170	8052	5700
1171	8059	5694
1172	8066	5687
1173	8074	5680
1174	8081	5674
1175	8087	5666
1176	8094	5659
1177	8101	5653
1178	8108	5646
1179	8115	5639
1180	8121	5632
1181	8128	5625
1182	8135	5618
1183	8142	5611
1184	8149	5605
1185	8156	5597
1186	8162	5590
1187	8169	5583
1188	8176	5577
1189	8184	5570
1190	8191	5564
1191	8198	5557
1192	8205	5550
1193	8211	5542
1194	8218	5536
1195	8226	5529
1196	8232	5522
1197	8237	5514
1198	8244	5508
1199	8252	5501
1200	8259	5494
1201	8266	5488
1202	8273	5481
1203	8280	5474
1204	8287	5467
1205	8294	5460
1206	8301	5454
1207	8308	5447
1208	8315	5440
1209	8322	5433
1210	8328	5426
1211	8335	5419
1212	8342	5412
1213	8349	5405
1214	8356	5398
1215	8363	5392
1216	8370	5385
1217	8376	5378
1218	8383	5371
1219	8391	5364
1220	8398	5358
1221	8405	5351
1222	8411	5343
1223	8418	5336
1224	8424	5329
1225	8431	5322
1226	8437	5315
1227	8445	5309
1228	8452	5302
1229	8459	5295
1230	8465	5288
1231	8472	5281
1232	8480	5275
1233	8487	5268
1234	8494	5261
1235	8500	5254
1236	8508	5247
1237	8514	5240
1238	8521	5234
1239	8528	5227
1240	8536	5220
1241	8542	5213
1242	8548	5206
1243	8554	5198
1244	8561	5191
1245	8568	5185
1246	8575	5178
1247	8581	5171
1248	8589	5164
1249	8596	5158
1250	8604	5151
1251	8611	5144
1252	8618	5137
1253	8624	5130
1254	8633	5124
1255	8639	5117
1256	8646	5110
1257	8653	5103
1258	8659	5096
1259	8666	5089
1260	8673	5082
1261	8680	5076
1262	8687	5069
1263	8695	5062
1264	8701	5055
1265	8708	5049
1266	8715	5042
1267	8721	5035
1268	8729	5028
1269	8735	5021
1270	8742	5014
1271	8749	5007
1272	8755	5000
1273	8762	4993
1274	8769	4986
1275	8775	4979
1276	8783	4972
1277	8790	4966
1278	8797	4959
1279	8803	4952
1280	8810	4945
1281	8816	4937
1282	8823	4931
1283	8831	4924
1284	8837	4917
1285	8843	4910
1286	8850	4903
1287	8856	4895
1288	8863	4888
1289	8870	4882
1290	8876	4874
1291	8883	4867
1292	8890	4861
1293	8897	4854
1294	8903	4847
1295	8910	4840
1296	8916	4832
1297	8921	4825
1298	8929	4818
1299	8935	4811
1300	8942	4804
1301	8949	4797
1302	8956	4791
1303	8963	4784
1304	8970	4777
1305	8977	4770
1306	8983	4763
1307	8990	4756
1308	8997	4749
1309	9004	4742
1310	9011	4735
1311	9018	4729
1312	9025	4722
1313	9031	4715
1314	9038	4708
1315	9044	4701
1316	9052	4694
1317	9058	4687
1318	9064	4680
1319	9070	4672
1320	9078	4666
1321	9085	4659
1322	9092	4652
1323	9099	4645
1324	9106	4639
1325	9113	4632
1326	9118	4624
1327	9125	4617
1328	9132	4610
1329	9139	4603
1330	9146	4597
1331	9152	4589
1332	9160	4583
1333	9168	4577
1334	9176	4570
1335	9182	4563
1336	9190	4557
1337	9197	4550
1338	9203	4543
1339	9210	4536
1340	9217	4529
1341	9224	4522
1342	9230	4515
1343	9236	4508
1344	9243	4501
1345	9250	4494
1346	9256	4487
1347	9262	4480
1348	9269	4473
1349	9276	4466
1350	9282	4459
1351	9289	4452
1352	9296	4445
1353	9303	4438
1354	9310	4432
1355	9318	4425
1356	9324	4418
1357	9331	4411
1358	9338	4404
1359	9343	4397
1360	9351	4390
1361	9357	4383
1362	9365	4376
1363	9372	4370
1364	9379	4363
1365	9385	4356
1366	9391	4348
1367	9398	4342
1368	9405	4335
1369	9411	4328
1370	9418	4321
1371	9425	4314
1372	9432	4307
1373	9438	4300
1374	9444	4293
1375	9451	4286
1376	9458	4279
1377	9465	4272
1378	9472	4265
1379	9478	4258
1380	9485	4251
1381	9491	4244
1382	9498	4237
1383	9505	4230
1384	9512	4223
1385	9519	4217
1386	9527	4210
1387	9533	4203
1388	9539	4196
1389	9546	4189
1390	9553	4182
1391	9559	4175
1392	9566	4168
1393	9572	4161
1394	9578	4154
1395	9585	4147
1396	9590	4139
1397	9598	4133
1398	9606	4126
1399	9613	4120
1400	9620	4113
1401	9627	4106
1402	9635	4099
1403	9642	4093
1404	9648	4086
1405	9655	4079
1406	9662	4072
1407	9669	4065
1408	9676	4058
1409	9683	4051
1410	9689	4044
1411	9696	4038
1412	9703	4031
1413	9711	4024
1414	9718	4017
1415	9725	4011
1416	9732	4004
1417	9739	3997
1418	9744	3989
1419	9751	3982
1420	9758	3976
1421	9764	3969
1422	9772	3962
1423	9778	3955
1424	9786	3948
1425	9792	3941
1426	9798	3934
1427	9805	3927
1428	9812	3920
1429	9819	3914
1430	9825	3906
1431	9834	3900
1432	9842	3894
1433	9849	3887
1434	9856	3880
1435	9864	3874
1436	9871	3867
1437	9877	3860
1438	9884	3853
1439	9890	3846
1440	9897	3839
1441	9904	3832
1442	9912	3826
1443	9919	3819
1444	9925	3812
1445	9932	3805
1446	9939	3798
1447	9945	3791
1448	9952	3784
1449	9959	3777
1450	9967	3771
1451	9973	3764
1452	9980	3757
1453	9986	3750
1454	9993	3743
1455	9999	3736
1456	10005	3728
1457	10011	3721
1458	10018	3714
1459	10023	3707
1460	10030	3700
1461	10038	3694
1462	10045	3687
1463	10051	3679
1464	10057	3672
1465	10063	3665
1466	10070	3658
1467	10077	3652
1468	10084	3645
1469	10091	3638
1470	10098	3631
1471	10104	3624
1472	10110	3617
1473	10117	3610
1474	10124	3603
1475	10131	3596
1476	10137	3589
1477	10145	3583
1478	10160	3579
1479	10169	3572
1480	10176	3566
1481	10182	3559
1482	10189	3552
1483	10196	3545
1484	10203	3538
1485	10209	3531
1486	10216	3524
1487	10223	3517
1488	10229	3510
1489	10236	3503
1490	10243	3496
1491	10250	3489
1492	10257	3483
1493	10264	3476
1494	10271	3469
1495	10278	3462
1496	10285	3455
1497	10293	3449
1498	10300	3442
1499	10313	3437
1500	10333	3435
1501	10350	3431
1502	10362	3426
1503	10370	3420
1504	10379	3413
1505	10389	3408
1506	10398	3401
1507	10411	3396
1508	10422	3391
1509	10431	3384
